id,received_time,sender,body,is_transaction,bank,account,amount,balance,txn_type,source
US_CORPUS_00001,1787348220000,322632,Bank of America: A purchase of $242.58 at KROGER #771 was charged to your credit card ending in 9111 on 08/21.,1,Bank of America,9111,242.58,,DEBIT,CARD
US_CORPUS_00002,1787400240000,322632,Bank of America: A purchase of $198.89 at KROGER #771 was charged to your credit card ending in 9111 on 08/22.,1,Bank of America,9111,198.89,,DEBIT,CARD
US_CORPUS_00003,1787445660000,322632,"Bank of America: A withdrawal/debit of $71.87 (ATM WITHDRAWAL #A5521) posted to account ending 9661 on 08/23. Available balance: $1,270.50.",1,Bank of America,9661,71.87,"1,270.50",DEBIT,BANK
US_CORPUS_00004,1787495040000,322632,BofA: Your credit card ending 9111 was DECLINED for $279.92 at PANERA BREAD #4402 on 08/23. Call 800.732.9194 if you need help.,0,Bank of America,,,,OTHER,NONE
US_CORPUS_00005,1787542920000,24273,"Chase: You made a $13.26 debit card purchase with card ending 882 at WALMART SUPERCENTER on 08/24. Avail bal: $8,996.86.",1,Chase,882,13.26,"8,996.86",DEBIT,CARD
US_CORPUS_00006,1787618100000,672566,"Netflix: Your payment method was updated successfully. If this wasn't you, visit netflix.com/account.",0,Unknown,,,,OTHER,NONE
US_CORPUS_00007,1787672640000,24273,"Chase: A refund of $23.45 from AMAZON MKTPLACE was credited to your debit card ending 882 on 08/25. Avail bal: $9,020.31.",1,Chase,882,23.45,"9,020.31",CREDIT,CARD
US_CORPUS_00008,1787723040000,322632,Bank of America: A purchase of $206.12 at KROGER #771 was charged to your credit card ending in 9111 on 08/26.,1,Bank of America,9111,206.12,,DEBIT,CARD
US_CORPUS_00009,1787760900000,322632,BofA Reminder: Payment of $35.00 minimum is due on credit card ending 9111 by 09/01. Avoid late fees.,1,Bank of America,9111,35.00,,CREDIT,CARD
US_CORPUS_00010,1787783700000,24273,"Chase: You made a $116.49 debit card purchase with card ending 882 at UBER TRIP on 08/26. Avail bal: $8,903.82.",1,Chase,882,116.49,"8,903.82",DEBIT,CARD
US_CORPUS_00011,1787801580000,322632,BofA: Your credit card ending 9111 was DECLINED for $156.02 at WHOLE FOODS MKT on 08/27. Call 800.732.9194 if you need help.,0,Bank of America,,,,OTHER,NONE
US_CORPUS_00012,1787856180000,24273,"Chase: You scheduled a payment of $190.41 to COMCAST CABLE for 09/04 from acct ...9384. To cancel, visit chase.com/pay.",1,Chase,9384,190.41,,CREDIT,BANK
